"Phi [deg]"	"mag(rETheta) [V] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	1.38220717471588
1	1.37530377405811
2	1.36588789685448
3	1.35407207244358
4	1.33999956714512
5	1.32384785348982
6	1.30583215087725
7	1.28620887262754
8	1.26527876067399
9	1.24338941594019
10	1.22093683685349
11	1.19836546201214
12	1.17616608620914
13	1.15487090713733
14	1.13504490921693
15	1.11727286987065
16	1.10214156493133
17	1.09021732286967
18	1.0820199388563
19	1.07799499615916
20	1.07848759163184
21	1.08372095956177
22	1.09378321202427
23	1.10862427478545
24	1.12806335126906
25	1.15180542115019
26	1.17946393432905
27	1.21058632761547
28	1.24467926244024
29	1.2812312865534
30	1.3197316063098
31	1.35968453581933
32	1.40061981981343
33	1.44209938680993
34	1.48372122892009
35	1.52512109894403
36	1.56597263187176
37	1.60598638518507
38	1.64490817963715
39	1.68251702375785
40	1.71862282593118
41	1.7530640370387
42	1.78570532157733
43	1.81643532244246
44	1.84516456104771
45	1.87182349752762
46	1.89636076346329
47	1.91874157047299
48	1.93894629116343
49	1.95696920372751
50	1.97281738752374
51	1.98650975406368
52	1.99807619584064
53	2.00755683428147
54	2.01500134773334
55	2.02046836074658
56	2.0240248769059
57	2.02574573899787
58	2.02571310226935
59	2.0240159088003
60	2.02074935345233
61	2.01601433432949
62	2.00991688307939
63	2.00256757256767
64	1.99408090139933
65	1.98457465638499
66	1.9741692553386
67	1.96298707355215
68	1.95115175795415
69	1.93878753337295
70	1.92601850555339
71	1.91296796568007
72	1.89975770119902
73	1.88650731774524
74	1.87333357699887
75	1.86034975530913
76	1.84766502792019
77	1.83538388356734
78	1.82360557403573
79	1.81242360293621
80	1.80192525741492
81	1.79219118575824
82	1.78329502289593
83	1.7753030646927
84	1.76827399073507
85	1.7622586341774
86	1.75729979623261
87	1.75343210220105
88	1.75068189562269
89	1.74906716727205
90	1.74859751629329
91	1.74927414173798
92	1.75108986400284
93	1.75402917700766
94	1.75806833321483
95	1.76317546458289
96	1.76931074310271
97	1.77642658457245
98	1.78446789867821
99	1.79337238728963
100	1.8030708912522
101	1.81348778402132
102	1.82454140843554
103	1.83614455098285
104	1.84820494627667
105	1.86062580329658
106	1.87330634437887
107	1.88614234801826
108	1.89902668725317
109	1.91184985668176
110	1.92450048287379
111	1.93686581495131
112	1.94883219423698
113	1.96028550394643
114	1.97111160177587
115	1.98119673978979
116	1.99042797716173
117	1.99869359202668
118	2.00588349897182
119	2.0118896785687
120	2.01660662491358
121	2.01993181649545
122	2.02176621496784
123	2.02201479567762
124	2.0205871132065
125	2.01739790479816
126	2.0123677344364
127	2.00542368054049
128	1.9965000707515
129	1.98553926806885
130	1.97249251359848
131	1.95732083231408
132	1.93999600940898
133	1.92050164591856
134	1.89883430319972
135	1.87500474643322
136	1.84903929742378
137	1.82098130643511
138	1.79089275139298
139	1.75885597020739
140	1.7249755277593
141	1.68938021261264
142	1.65222514879045
143	1.61369399362999
144	1.57400117191364
145	1.53339406666451
146	1.49215504510726
147	1.45060314088569
148	1.40909513759049
149	1.36802570264899
150	1.32782610768047
151	1.28896095292727
152	1.25192221439504
153	1.21721989677454
154	1.18536866729947
155	1.15687014159645
156	1.13219105480309
157	1.11173838289381
158	1.0958334698268
159	1.08468811273974
160	1.07838600697821
161	1.07687264008419
162	1.07995555840591
163	1.08731516296294
164	1.09852435215861
165	1.11307398751273
166	1.13040065758338
167	1.14991354652683
168	1.17101809258996
169	1.19313517328391
170	1.21571547929879
171	1.23824938800059
172	1.2602730022348
173	1.28137114122569
174	1.30117804140032
175	1.3193764203036
176	1.33569542854358
177	1.34990789302047
178	1.36182715311924
179	1.37130371332535
180	1.37822187867429
181	1.38249649919879
182	1.38406992136893
183	1.38290922425523
184	1.37900380249667
185	1.37236334477491
186	1.36301624388086
187	1.35100846180874
188	1.33640286036681
189	1.31927899466683
190	1.29973335387526
191	1.2778800211568
192	1.25385171307943
193	1.22780114786668
194	1.19990268130561
195	1.17035413774306
196	1.13937874949715
197	1.10722709825224
198	1.07417892257712
199	1.04054461159761
200	1.0066661406104
201	0.97291711556468
202	0.939701479283108
203	0.907450301510311
204	0.876615952532448
205	0.847662897003575
206	0.821054422685909
207	0.797234943329357
208	0.776608179502158
209	0.759512537400194
210	0.746196214281093
211	0.736795583779675
212	0.731320744498305
213	0.729651354133015
214	0.731544036579359
215	0.73665028916147
216	0.744541780072685
217	0.754738904301752
218	0.766738645421271
219	0.78003884640437
220	0.794157369721848
221	0.808645849303378
222	0.823098562885216
223	0.837157360426604
224	0.850513672890906
225	0.862908525927144
226	0.874131302187105
227	0.884017802838934
228	0.892447987978054
229	0.899343639005642
230	0.904666083112786
231	0.908414044904634
232	0.910621635774338
233	0.911356451410618
234	0.910717716727767
235	0.90883439206158
236	0.905863132767241
237	0.901985976018877
238	0.897407614853021
239	0.89235211314521
240	0.887058920644079
241	0.881778069990656
242	0.876764483697754
243	0.872271392885051
244	0.868542971960438
245	0.865806418753748
246	0.864263843623216
247	0.864084450878702
248	0.865397573194102
249	0.868287127744576
250	0.872787985514648
251	0.87888458510717
252	0.886511903273083
253	0.895558656507845
254	0.905872396674374
255	0.917266015641372
256	0.929525108190021
257	0.942415656988423
258	0.955691579911479
259	0.969101792005414
260	0.982396555961119
261	0.995333006178981
262	1.00767982077233
263	1.01922107916823
264	1.02975938175694
265	1.03911832671996
266	1.04714444309823
267	1.05370867337902
268	1.05870748743855
269	1.06206369548336
270	1.06372701254146
271	1.06367441207318
272	1.06191029180378
273	1.05846646092318
274	1.05340194412258
275	1.04680258422007
276	1.03878041108217
277	1.02947273005331
278	1.01904086835241
279	1.00766850358099
280	0.995559486016029
281	0.982935058075676
282	0.970030373671979
283	0.957090231581212
284	0.944363965614623
285	0.932099485131522
286	0.920536535287197
287	0.909899346238992
288	0.900388956812729
289	0.892175615412724
290	0.885391756505274
291	0.880126098593093
292	0.876419386508108
293	0.874262196322659
294	0.873595042987859
295	0.874310806376849
296	0.876259261768606
297	0.879253309018199
298	0.883076373294974
299	0.887490413057686
300	0.892244011498111
301	0.897080124808038
302	0.901743186826524
303	0.905985399255641
304	0.909572151023664
305	0.912286599441392
306	0.913933506959918
307	0.914342463118555
308	0.913370636751145
