"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	2.15750552899284
1	2.1574537678191
2	2.15726451767882
3	2.15692560718553
4	2.15641797424349
5	2.15571697392705
6	2.1547942899435
7	2.15362051752526
8	2.15216848883497
9	2.15041740001328
10	2.14835776564738
11	2.14599716514342
12	2.14336665094745
13	2.14052755939524
14	2.13757830736907
15	2.13466058958849
16	2.13196424405169
17	2.12972997153398
18	2.12824912904723
19	2.12786000690031
20	2.12894035510477
21	2.13189641153302
22	2.13714921534549
23	2.14511944524945
24	2.15621228626369
25	2.17080382847208
26	2.1892302369892
27	2.2117804767785
28	2.23869284607052
29	2.27015508732372
30	2.30630749077365
31	2.34724821810386
32	2.39304004172666
33	2.44371777825418
34	2.49929584291699
35	2.55977552012724
36	2.62515170203185
37	2.69541897360499
38	2.77057701263534
39	2.85063532606912
40	2.93561736411448
41	3.02556404433269
42	3.12053668239147
43	-3.06256604233529
44	-2.95726539658587
45	-2.84661405876132
46	-2.73045602200564
47	-2.60861515321236
48	-2.48090138218954
49	-2.34712084138986
50	-2.20709108728451
51	-2.06066245532141
52	-1.90774614592227
53	-1.74834859294246
54	-1.5826098582679
55	-1.41084127618954
56	-1.23355484616869
57	-1.05147506497814
58	-0.865524535736343
59	-0.676778959651574
60	-0.486394659618054
61	-0.295520120629052
62	-0.105208423021536
63	0.0836528607614193
64	0.270383575656024
65	0.454522388423196
66	0.63581267324316
67	0.814171758602205
68	0.98965275397093
69	1.16240621141773
70	1.33264613289413
71	1.50062237063039
72	1.66659973762253
73	1.83084316488519
74	1.99360783078959
75	2.15513313018736
76	2.31563947409089
77	2.47532710097535
78	2.6343762750514
79	2.79294841594243
80	2.9511878387939
81	3.10922388474707
82	-3.01601201324939
83	-2.85804258445211
84	-2.6999539674531
85	-2.54165185209425
86	-2.38304415753336
87	-2.22403843173837
88	-2.06453930736177
89	-1.90444604524721
90	-1.74365020446524
91	-1.5820334904114
92	-1.41946585162341
93	-1.25580392367276
94	-1.09088995726392
95	-0.924551420097551
96	-0.756601530017826
97	-0.586841060358702
98	-0.415061852818287
99	-0.241052566330283
100	-0.0646072571090569
101	0.11446261841676
102	0.296312326113856
103	0.481044013375982
104	0.668683489957283
105	0.859155244290374
106	1.0522586212602
107	1.24764940841049
108	1.44483189393022
109	1.64316611831721
110	1.84189304698427
111	2.04017682235339
112	2.23715902688224
113	2.43201653928178
114	2.62401351429877
115	2.81253973562984
116	2.99713131339783
117	-3.10571141913319
118	-2.92979357915633
119	-2.75835764145434
120	-2.59136650064355
121	-2.42871336513478
122	-2.27024406818965
123	-2.11577579103542
124	-1.96511182803053
125	-1.81805261406275
126	-1.67440353381138
127	-1.53398013148002
128	-1.39661132025819
129	-1.26214111360433
130	-1.13042930397497
131	-1.00135142025153
132	-0.87479821279496
133	-0.750674847953281
134	-0.628899941550764
135	-0.509404521420502
136	-0.392130979965233
137	-0.277032056709796
138	-0.164069875842098
139	-0.0532150532245846
140	0.0555541199387638
141	0.162252414591381
142	0.266888323644787
143	0.369464647515336
144	0.46997901014939
145	0.568424311111566
146	0.664789119690879
147	0.759058017055891
148	0.851211892348937
149	0.941228198321512
150	1.02908117173661
151	1.11474202335346
152	1.19817910191621
153	1.27935803623859
154	1.35824185925388
155	1.43479111782099
156	1.50896397216864
157	1.58071628913298
158	1.65000173379554
159	1.71677186473192
160	1.78097623879123
161	1.84256253206963
162	1.90147668442809
163	1.95766307542202
164	2.01106473973835
165	2.061623630047
166	2.10928093445268
167	2.15397745438692
168	2.19565404675122
169	2.23425213140873
170	2.26971426178201
171	2.30198475248107
172	2.33101035376193
173	2.35674095846862
174	2.37913032325628
175	2.39813678266643
176	2.41372393235276
177	2.42586125671985
178	2.43452467663529
179	2.43969699480173
180	2.44136821978982
181	2.43953575446672
182	2.43420444031255
183	2.42538645550381
184	2.4131010712024
185	2.39737427674266
186	2.37823828991145
187	2.35573097288935
188	2.32989517739712
189	2.30077804403104
190	2.2684302806688
191	2.23290544331061
192	2.19425924001667
193	2.15254887501788
194	2.10783244595473
195	2.06016840288426
196	2.00961507350208
