"Phi [deg]"	"mag(rETheta) [V] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	1.03960987385512
1	1.03877565361331
2	1.03631472018703
3	1.03226907802899
4	1.02670848059769
5	1.01972991407062
6	1.01145681433517
7	1.00203796138554
8	0.991645978993871
9	0.980475352570273
10	0.96873986656525
11	0.956669357811599
12	0.944505687258877
13	0.932497854964869
14	0.920896227469751
15	0.9099459169392
16	0.899879448312734
17	0.890908968591947
18	0.883218377628602
19	0.876955870233422
20	0.872227447659151
21	0.869091956320533
22	0.867558127045908
23	0.867583921559703
24	0.869078268023139
25	0.871905024979953
26	0.875888799274402
27	0.880822096660743
28	0.886473223612166
29	0.892594383229356
30	0.898929497644244
31	0.90522141567654
32	0.911218299795241
33	0.916679109290212
34	0.92137819459189
35	0.925109086810398
36	0.927687608628065
37	0.928954452681023
38	0.928777377453931
39	0.9270531639117
40	0.923709462756349
41	0.918706644948163
42	0.912039748050815
43	0.903740587648816
44	0.893880074660267
45	0.882570742375726
46	0.869969436327199
47	0.856280048702483
48	0.841756078674605
49	0.826702662503034
50	0.811477537946777
51	0.796490192129157
52	0.782198217553617
53	0.769099729926622
54	0.757720692762184
55	0.748596296959968
56	0.742246304638297
57	0.73914553114963
58	0.739692225852184
59	0.744178541442405
60	0.752767885876668
61	0.765483207898657
62	0.782208191402672
63	0.802700603064873
64	0.826614671126835
65	0.853528161783989
66	0.882969940594635
67	0.914444870073719
68	0.947454290238847
69	0.981511561504755
70	1.01615298354254
71	1.05094482748645
72	1.08548733617846
73	1.11941648539518
74	1.15240416031797
75	1.18415725009701
76	1.21441603136513
77	1.24295211001953
78	1.26956611907164
79	1.29408532344269
80	1.31636125351728
81	1.33626747179157
82	1.35369756594984
83	1.36856345335166
84	1.38079407358877
85	1.39033453588243
86	1.39714577588126
87	1.40120476178159
88	1.40250527298728
89	1.40105925638808
90	1.39689874647413
91	1.39007831649995
92	1.38067800899458
93	1.36880667475653
94	1.3546056289655
95	1.33825250911291
96	1.31996518892577
97	1.30000556106082
98	1.27868294400108
99	1.25635679025768
100	1.23343827046077
101	1.21039018308761
102	1.18772450445844
103	1.16599677713775
104	1.14579648930403
105	1.12773270040294
106	1.11241451096246
107	1.10042662962448
108	1.0923012556236
109	1.08848862844028
110	1.08932959072438
111	1.09503395766174
112	1.10566805072464
113	1.12115338564492
114	1.14127654089036
115	1.16570828532136
116	1.19402870963085
117	1.22575469337882
118	1.26036647568479
119	1.29733104839958
120	1.33612116581771
121	1.37622967849943
122	1.41717952167445
123	1.45853002005651
124	1.49988027774485
125	1.54087038771362
126	1.58118109096664
127	1.62053238914471
128	1.65868149376503
129	1.69542039279514
130	1.73057323414814
131	1.76399366440603
132	1.79556221620836
133	1.82518380553245
134	1.85278537720489
135	1.87831372075861
136	1.90173346720033
137	1.92302526897444
138	1.94218415944642
139	1.95921808395265
140	1.97414659146902
141	1.98699967397303
142	1.99781673943288
143	2.00664570391345
144	2.01354218842054
145	2.01856880669223
146	2.02179453106614
147	2.02329412467861
148	2.02314762946427
149	2.02143990060731
150	2.01826017915472
151	2.0137016953642
152	2.0078612959846
153	2.0008390890462
154	1.99273809989757
155	1.98366393222114
156	1.97372442767118
157	1.96302931770347
158	1.95168986120841
159	1.93981846181618
160	1.92752825929597
161	1.91493269037457
162	1.9021450155726
163	1.88927781027811
164	1.87644242018446
165	1.86374838331163
166	1.85130282297473
167	1.83920981810968
168	1.82756975915676
169	1.81647869909464
170	1.80602771009554
171	1.79630225656552
172	1.78738159502884
173	1.77933821045648
174	1.77223729733127
175	1.76613629213719
176	1.76108446224005
177	1.75712255447911
178	1.75428250538302
179	1.75258721388384
180	1.75205037679249
181	1.75267638710783
182	1.75446029537795
183	1.75738783467832
184	1.76143551013816
185	1.76657075415392
186	1.77275214831186
187	1.77992971249174
188	1.78804526059339
189	1.79703282085117
190	1.80681911688067
191	1.81732410360033
192	1.82846155018474
193	1.8401396604428
194	1.85226171966189
195	1.86472675616621
196	1.87743020569576
197	1.89026456724897
198	1.9031200402095
199	1.91588513430067
200	1.92844724604292
201	1.94069319776324
202	1.95250973764726
203	1.96378400166743
204	1.97440394031983
205	1.98425871484812
206	1.99323906895593
207	2.0012376828847
208	2.00814951717838
209	2.01387215352613
210	2.01830613985326
211	2.02135534642338
212	2.02292733923523
213	2.02293377655645
214	2.02129083413152
215	2.0179196645102
216	2.01274689611468
217	2.00570517811575
218	1.99673377790699
219	1.98577923890346
220	1.97279610747567
221	1.95774773896442
222	1.94060719379651
223	1.92135823561303
224	1.89999644390298
225	1.87653045377031
226	1.85098333500804
227	1.82339412143799
228	1.79381949928571
229	1.76233565989901
230	1.72904031695192
231	1.69405488076318
232	1.65752677155709
233	1.61963183804859
234	1.58057682576263
235	1.54060180850723
236	1.49998245332614
237	1.45903193063552
238	1.41810220403344
239	1.37758433721954
240	1.33790734177592
241	1.29953497094217
242	1.26295976646983
243	1.22869363259325
244	1.19725430781085
245	1.16914740786427
246	1.14484428404058
247	1.12475678149298
248	1.10921098027554
249	1.09842290229917
250	1.09247961668079
251	1.09132885956527
252	1.09477911339177
253	1.10251031696062
254	1.11409353080894
255	1.12901653132105
256	1.14671179498588
257	1.16658365527873
258	1.18803228675634
259	1.21047322077728
260	1.23335202584638
261	1.25615444094205
262	1.27841261294113
263	1.29970821786919
264	1.3196732230702
265	1.3379889475633
266	1.35438395309343
267	1.36863117906091
268	1.38054463447123
269	1.3899758827151
270	1.39681049830497
271	1.40096463433693
272	1.40238181070913
273	1.40103001183856
274	1.39689916550887
275	1.38999905924577
276	1.38035773582585
277	1.3680203944862
278	1.353048808987
279	1.33552125814889
280	1.31553294931188
281	1.29319690084534
282	1.26864523672707
283	1.24203083431334
284	1.21352925521652
285	1.18334087743162
286	1.15169313230108
287	1.11884272923019
288	1.08507771965653
289	1.05071920386894
290	1.01612241355345
291	0.981676804184671
292	0.947804663833464
293	0.914957598381056
294	0.883610116801374
295	0.85424947339374
296	0.827361022113697
297	0.803408722894305
298	0.782811215098826
299	0.765915040345234
300	0.752967951252754
301	0.744096329298871
302	0.739290967090679
303	0.738404437123795
304	0.741161076177814
305	0.747177968036007
306	0.755993186057801
307	0.767096670344565
308	0.779959552487066
309	0.794059049934863
310	0.808897590507868
311	0.824016103311544
312	0.839002214734939
313	0.853494437617347
314	0.867183470144416
315	0.879811574301881
316	0.891170792485666
317	0.90110055108417
318	0.909485021778905
319	0.916250472938732
320	0.921362741513311
321	0.924824882725058
322	0.926675002594759
323	0.926984240054773
324	0.925854835920284
325	0.923418201810985
