"Phi [deg]"	"ang_rad(rETheta) [rad] - Freq='1.5GHz' Theta='90.0000000000002deg'"
0	-2.00817293301972
1	-2.04860291531938
2	-2.08822276741774
3	-2.12704746896194
4	-2.16509761273331
5	-2.2023992557346
6	-2.23898379256336
7	-2.27488785295004
8	-2.31015322520579
9	-2.34482680732951
10	-2.37896058759606
11	-2.41261165650799
12	-2.44584225195165
13	-2.47871983914554
14	-2.51131722636755
15	-2.54371271632608
16	-2.57599029117457
17	-2.60823982627414
18	-2.64055732352003
19	-2.67304514890808
20	-2.70581225046869
21	-2.73897432108196
22	-2.77265385527826
23	-2.80698002919165
24	-2.84208830777503
25	-2.87811965301069
26	-2.91521917179433
27	-2.95353400457689
28	-2.99321022032383
29	-3.03438845820885
30	-3.07719805504274
31	-3.12174943907086
32	3.11506062687013
33	3.06681901515123
34	3.01672060905689
35	2.96484009030309
36	2.911329385019
37	2.85642707893609
38	2.80046296619612
39	2.7438556779648
40	2.68710197025187
41	2.63075744772506
42	2.57541006379621
43	2.52164925989376
44	2.47003460492656
45	2.42106791926189
46	2.37517207087604
47	2.33267819756108
48	2.29382150828009
49	2.25874449338324
50	2.22750558570206
51	2.20009109421346
52	2.17642844650012
53	2.1563992299686
54	2.13985103824695
55	2.12660759107681
56	2.11647694845888
57	2.10925787405816
58	2.10474453587286
59	2.10272979024881
60	2.10300730429648
61	2.10537275246196
62	2.10962429021942
63	2.11556247108244
64	2.12298973786559
65	2.13170958815049
66	2.14152548836843
67	2.15223959107931
68	2.16365129583952
69	2.17555568546511
70	2.18774186672756
71	2.19999124824295
72	2.21207579982851
73	2.22375635898789
74	2.23478108446022
75	2.24488420793763
76	2.25378530799043
77	2.261189430074
78	2.26678850712963
79	2.27026469629661
80	2.27129642816463
81	2.26956813609373
82	2.26478473246047
83	2.25669181792612
84	2.24510218756885
85	2.22992823887213
86	2.21121823616388
87	2.18919208178877
88	2.16426972685766
89	2.13708361341376
90	2.10846695596205
91	2.07941334930763
92	2.05100994906725
93	2.02435421915
94	2.00046963024232
95	1.9802360468107
96	1.96434567401634
97	1.95328779286934
98	1.9473584759241
99	1.94668736383153
100	1.95127280190221
101	1.9610181842425
102	1.97576483713208
103	1.99531913652401
104	2.01947329152836
105	2.04802026009688
106	2.08076373558985
107	2.11752424896434
108	2.1581423384688
109	2.20247956201727
110	2.25041793424877
111	2.30185819437164
112	2.35671716579996
113	2.41492435760459
114	2.47641788023147
115	2.54113970258448
116	2.60903026429173
117	2.68002247692707
118	2.75403520271788
119	2.8309663889574
120	2.91068615682626
121	2.99303028294129
122	3.07779464864111
123	-3.11845397451196
124	-3.02963826036695
125	-2.93928078499003
126	-2.84775808426392
127	-2.75547790474584
128	-2.66286823253885
129	-2.57036427381655
130	-2.47839458587089
131	-2.38736769848229
132	-2.29766047683034
133	-2.20960918275005
134	-2.12350376722152
135	-2.03958547454744
136	-1.95804745000716
137	-1.87903777697181
138	-1.80266424427862
139	-1.72900014335129
140	-1.65809048068103
141	-1.58995812387104
